Filename,TrueAngle,Est_MVDR,Est_SRP_PHAT,Est_W_SRP_PHAT,Est_GCCWLS,abs_err_mvdr,abs_err_srp,abs_err_wsrp,abs_err_gccwls
30d1m_093.wav,30,37,35,33.5916772282842,33.8271457514107,7,5,3.59167722828415,3.82714575141073
30d1m_094.wav,30,39,35,33.2968333539719,33.5527688680431,9,5,3.29683335397187,3.5527688680431
30d1m_095.wav,30,37,34,33.2181326210087,33.4493123780388,7,4,3.21813262100871,3.44931237803879
30d1m_096.wav,30,35,35,33.0776831244463,33.2754828227413,5,5,3.0776831244463,3.27548282274127
30d1m_097.wav,30,39,35,33.229385959733,33.3620926019305,9,5,3.22938595973299,3.36209260193051
30d1m_098.wav,30,39,36,33.850729952507,34.1206615506286,9,6,3.850729952507,4.12066155062858
30d1m_099.wav,30,38,35,33.6021087304342,33.7321814029932,8,5,3.60210873043424,3.73218140299316
30d1m_100.wav,30,39,35,34.3434811247955,34.4245496917447,9,5,4.34348112479551,4.42454969174467
30d1m_101.wav,30,38,35,33.7892539047484,33.9061637321687,8,5,3.78925390474837,3.90616373216871
30d1m_102.wav,30,35,35,34.41578175814,34.4494639068394,5,5,4.41578175813999,4.44946390683943
30d1m_103.wav,30,36,35,34.2839068229907,34.3416101032022,6,5,4.28390682299069,4.34161010320225
30d1m_104.wav,30,39,35,34.0094474312766,34.0566673112626,9,5,4.00944743127656,4.05666731126261
30d1m_105.wav,30,38,35,34.0526258351382,34.2071611133428,8,5,4.05262583513822,4.20716111334278
30d1m_106.wav,30,38,35,33.4891241425427,33.8232868193811,8,5,3.48912414254267,3.82328681938112
30d1m_107.wav,30,39,35,34.655711748663,34.7121233027849,9,5,4.65571174866296,4.71212330278487
30d1m_108.wav,30,39,35,34.1949523054231,34.307792026183,9,5,4.19495230542307,4.30779202618304
30d1m_109.wav,30,39,35,34.1156919536718,34.3044103295293,9,5,4.11569195367183,4.30441032952933
40d1m_001.wav,40,44,43,42.176067898574,42.540916541931,4,3,2.17606789857395,2.54091654193104
40d1m_002.wav,40,44,43,42.5119871409667,42.809730051084,4,3,2.51198714096672,2.80973005108396
40d1m_003.wav,40,46,44,42.6071695973627,43.2731571409028,6,4,2.60716959736273,3.27315714090275
40d1m_004.wav,40,46,43,42.4264716825663,43.013928117919,6,3,2.42647168256626,3.01392811791899
40d1m_005.wav,40,47,44,42.2889114949685,42.693505164125,7,4,2.28891149496853,2.69350516412501
40d1m_006.wav,40,49,43,42.6707599140484,42.9836594417503,9,3,2.67075991404839,2.98365944175029
40d1m_007.wav,40,47,43,42.2824703913908,42.5652727559345,7,3,2.28247039139076,2.56527275593448
40d1m_008.wav,40,47,43,41.9504448872103,42.3481347075094,7,3,1.95044488721027,2.34813470750935
40d1m_009.wav,40,46,42,42.2645552460377,42.6419900662102,6,2,2.26455524603769,2.64199006621023
40d1m_010.wav,40,47,43,41.8747213445956,42.4820058141998,7,3,1.87472134459559,2.48200581419976
40d1m_011.wav,40,46,43,42.2767168774506,42.8057158587971,6,3,2.27671687745061,2.80571585879707
40d1m_012.wav,40,45,43,42.1709674269883,42.5906376513734,5,3,2.17096742698828,2.59063765137338
40d1m_013.wav,40,43,43,41.9714651576699,42.4596582572748,3,3,1.97146515766986,2.4596582572748
40d1m_014.wav,40,42,43,41.6964288942788,41.947226271682,2,3,1.69642889427884,1.94722627168196
40d1m_015.wav,40,43,43,42.3255851385835,42.6065056782844,3,3,2.32558513858349,2.60650567828443
40d1m_016.wav,40,45,42,42.0890975878342,42.4977938307722,5,2,2.08909758783425,2.49779383077217
40d1m_017.wav,40,44,42,41.7804772560566,42.0656361458154,4,2,1.78047725605656,2.06563614581538
40d1m_018.wav,40,45,42,41.6290526324692,42.1368491719321,5,2,1.62905263246918,2.13684917193206
40d1m_019.wav,40,43,43,41.7861704453682,42.5513139367896,3,3,1.78617044536818,2.55131393678962
40d1m_020.wav,40,47,42,41.8097704138316,42.1298001500094,7,2,1.80977041383157,2.12980015000944
40d1m_021.wav,40,45,42,42.3655498666566,42.6803866951039,5,2,2.36554986665656,2.68038669510393
40d1m_022.wav,40,43,43,41.6985469334734,41.9754306732703,3,3,1.69854693347342,1.97543067327032
40d1m_023.wav,40,43,43,42.1313856168034,42.5502160443876,3,3,2.13138561680344,2.55021604438763
40d1m_024.wav,40,43,43,41.9377026289976,42.430601545418,3,3,1.93770262899756,2.43060154541796
40d1m_025.wav,40,45,43,42.4253425299844,42.7422192686755,5,3,2.42534252998436,2.74221926867551
40d1m_026.wav,40,42,43,42.3986238786599,42.7714998259134,2,3,2.39862387865987,2.77149982591344
40d1m_027.wav,40,51,44,42.185868270959,42.5775015484995,11,4,2.18586827095898,2.57750154849951
40d1m_028.wav,40,43,43,41.9975381210332,42.3667360413897,3,3,1.99753812103322,2.36673604138966
40d1m_029.wav,40,45,43,41.95363818147,42.2932141664897,5,3,1.95363818146998,2.2932141664897
40d1m_030.wav,40,51,43,41.992816317075,42.4296602613189,11,3,1.992816317075,2.42966026131886
40d1m_031.wav,40,45,43,42.4291346549595,42.6129699165648,5,3,2.4291346549595,2.61296991656477
40d1m_032.wav,40,43,43,42.8021309461578,43.0330136136706,3,3,2.80213094615779,3.03301361367061
40d1m_033.wav,40,45,43,42.2050476379745,42.4327084589394,5,3,2.20504763797451,2.43270845893941
40d1m_034.wav,40,43,43,42.0341783144246,42.6908710238366,3,3,2.03417831442456,2.69087102383656
40d1m_035.wav,40,47,43,42.4215234370518,42.6869338469211,7,3,2.42152343705176,2.68693384692112
40d1m_036.wav,40,44,43,42.0463090893572,42.3504840096543,4,3,2.04630908935715,2.35048400965432
40d1m_037.wav,40,47,43,42.2965734196243,42.5911024426606,7,3,2.29657341962427,2.59110244266063
40d1m_038.wav,40,47,43,41.9256355271332,42.3645842741021,7,3,1.92563552713323,2.36458427410207
40d1m_039.wav,40,50,43,42.087715930111,42.4361676956892,10,3,2.08771593011098,2.43616769568916
40d1m_040.wav,40,50,43,42.430809721751,42.8094727631725,10,3,2.43080972175103,2.80947276317251
40d1m_041.wav,40,44,43,41.908548997803,42.2246127267438,4,3,1.90854899780302,2.22461272674381
40d1m_042.wav,40,42,43,42.1617081598093,42.5393649386073,2,3,2.16170815980928,2.5393649386073
40d1m_043.wav,40,46,43,42.1840905334167,42.5653226721337,6,3,2.18409053341669,2.56532267213372
40d1m_044.wav,40,44,43,42.4212429935032,42.7495791360062,4,3,2.42124299350319,2.74957913600624
40d1m_045.wav,40,45,43,42.2310205830179,42.5055193616555,5,3,2.23102058301792,2.50551936165545
40d1m_046.wav,40,46,44,42.1145521674823,42.4349896185253,6,4,2.11455216748232,2.43498961852526
40d1m_047.wav,40,46,43,42.1716526173127,42.5657904696431,6,3,2.1716526173127,2.56579046964308
40d1m_048.wav,40,45,43,41.6849222951097,42.1063954769535,5,3,1.68492229510972,2.10639547695354
40d1m_049.wav,40,46,43,42.1892065283703,42.4156898429576,6,3,2.18920652837029,2.41568984295763
40d1m_050.wav,40,48,43,42.4833105018243,42.8432574670897,8,3,2.48331050182428,2.84325746708969
40d1m_051.wav,40,47,43,42.7062963847747,42.9238323198143,7,3,2.70629638477473,2.92383231981429
40d1m_052.wav,40,45,43,42.1780866718496,42.5250429978001,5,3,2.1780866718496,2.52504299780014
40d1m_053.wav,40,48,43,42.5313965352061,42.9076593366078,8,3,2.5313965352061,2.90765933660784
