file,fs,duration_s,channels,channel_index,rms_dbfs,peak_dbfs,crest_db,zcr,snr_db,spectral_centroid_hz
100d1m_018.wav,16000,1,6,3,-42.4926904078518,-27.7539483825348,14.7387420253169,0.0983325661091504,13.2870556888917,7956.15232038576
100d1m_018.wav,16000,1,6,4,-42.0575336484885,-27.0219415835056,15.0355920649829,0.0982046954119994,13.5457259392304,7956.24473546609
100d1m_018.wav,16000,1,6,5,-88.7442643900483,-84.2883987858831,4.45586560416521,0.436704004910235,1.43645725704824,7740.10249304905
100d1m_018.wav,16000,1,6,6,-88.717840480864,-84.2883987858831,4.42944169498091,0.44596184338397,1.4866330421846,7739.91660213761
100d1m_019.wav,16000,1,6,1,-38.2477910087042,-24.7110990989616,13.5366919097426,0.0608408777044652,12.8038396772529,7967.53090576313
100d1m_019.wav,16000,1,6,2,-38.2474200855869,-24.5395426871987,13.7078773983882,0.0608664518438954,13.0048846872779,7968.55188064914
100d1m_019.wav,16000,1,6,3,-38.3926113563025,-24.6883313542398,13.7042800020627,0.0628868088588819,13.1853477677222,7967.88346582589
100d1m_019.wav,16000,1,6,4,-38.0475093200797,-24.4994024325809,13.5481068874988,0.0633727175080558,13.2364729617756,7968.38561607847
100d1m_019.wav,16000,1,6,5,-88.7344310177994,-84.2883987858831,4.44603223191625,0.425374661142653,1.43223910066887,7738.57652829213
100d1m_019.wav,16000,1,6,6,-88.7336755259615,-84.2883987858831,4.44527674007838,0.44102603447394,1.43109969620001,7739.88474837427
100d1m_020.wav,16000,1,6,1,-41.4034925004385,-26.9331582929107,14.4703342075278,0.0817860978978057,17.569468837206,7967.95996372264
100d1m_020.wav,16000,1,6,2,-41.3845777026023,-27.0159943805084,14.368583322094,0.0820162651526776,17.4358299716775,7968.6957082488
100d1m_020.wav,16000,1,6,3,-41.5534934259142,-27.1417488572893,14.4117445686249,0.0836785842156411,17.1961857183407,7967.71404304368
100d1m_020.wav,16000,1,6,4,-41.2521734711163,-26.4020775322259,14.8500959388903,0.0861592757403713,16.9025211764506,7967.83056957751
100d1m_020.wav,16000,1,6,5,-81.5976495204014,-65.2035485971247,16.3941009232767,0.49749373433584,13.6177652652184,7789.83839050392
100d1m_020.wav,16000,1,6,6,-86.4382163702756,-72.2471989593476,14.191017410928,0.49381105825789,6.55834737816323,7771.16711126881
100d1m_021.wav,16000,1,6,1,-38.516705975058,-24.069685491827,14.447020483231,0.0742161526264641,13.7082552103029,7975.00818202557
100d1m_021.wav,16000,1,6,2,-38.5126362932691,-24.345041356998,14.1675949362711,0.0749833768093704,14.0221218532309,7975.56927134818
100d1m_021.wav,16000,1,6,3,-38.6615919356445,-24.2883987859147,14.3731931497298,0.0792798322336453,14.0940187188743,7975.22898597761
100d1m_021.wav,16000,1,6,4,-38.3256594129712,-23.5958296534083,14.7298297595629,0.078256866656437,14.0059707901082,7975.46232611478
100d1m_021.wav,16000,1,6,5,-76.3391200914442,-65.2035485971247,11.1355714943194,0.655209452201933,2.39433364982374,7941.45184500219
100d1m_021.wav,16000,1,6,6,-82.8721375785855,-72.2471989593476,10.6249386192379,0.634136361311442,1.00581098846962,7872.52241137688
100d1m_022.wav,16000,1,6,1,-39.1432641264252,-21.8670554365601,17.2762086898651,0.0658789831722163,16.9201744296697,7966.44305794872
